Subject,Treatment,Day,Metric,Value
SROF017,TRAINING3,2,hit_rate,85.02415458937197
SROF017,TRAINING3,3,hit_rate,87.5
SROF017,TRAINING3,4,hit_rate,91.06529209621993
SROF017,TRAINING3,5,hit_rate,93.7984496124031
SROF018,TRAINING3,1,hit_rate,31.57894736842105
SROF018,TRAINING3,2,hit_rate,55.26315789473685
SROF018,TRAINING3,3,hit_rate,47.91666666666667
SROF018,TRAINING3,4,hit_rate,71.73913043478261
SROF018,TRAINING3,5,hit_rate,64.28571428571429
SROF018,TRAINING3,6,hit_rate,71.08433734939759
SROF018,TRAINING3,7,hit_rate,56.94444444444444
SROF018,TRAINING3,8,hit_rate,76.05633802816901
SROF018,TRAINING3,9,hit_rate,68.4931506849315
SROF020,TRAINING3,1,hit_rate,53.2258064516129
SROF020,TRAINING3,2,hit_rate,87.34177215189874
SROF020,TRAINING3,3,hit_rate,80.88235294117648
SROF020,TRAINING3,4,hit_rate,88.57142857142857
SROF020,TRAINING3,5,hit_rate,90.41095890410958
SROF020,TRAINING3,6,hit_rate,93.87755102040816
SROF020,TRAINING3,7,hit_rate,91.17647058823529
SROF020,TRAINING3,8,hit_rate,82.14285714285714
SROF020,TRAINING3,9,hit_rate,86.20689655172413
SROF020,TRAINING3,10,hit_rate,91.8918918918919
SROF020,TRAINING3,11,hit_rate,53.62318840579711
SROF020,TRAINING3,12,hit_rate,70.37037037037037
SROF020,TRAINING3,13,hit_rate,98.07692307692307
SROF020,TRAINING3,14,hit_rate,87.34177215189874
SROF012,TRAINING1,1,rejection_rate,37.423312883435585
SROF012,TRAINING1,2,rejection_rate,67.45562130177515
SROF012,TRAINING1,3,rejection_rate,66.22222222222223
SROF012,TRAINING1,4,rejection_rate,71.15384615384616
SROF012,TRAINING1,5,rejection_rate,72.72727272727273
SROF012,TRAINING1,6,rejection_rate,76.38888888888889
SROF012,TRAINING1,7,rejection_rate,84.04907975460122
SROF017,TRAINING1,1,rejection_rate,38.79003558718861
SROF017,TRAINING1,2,rejection_rate,30.65015479876161
SROF017,TRAINING1,3,rejection_rate,36.45833333333333
SROF017,TRAINING1,4,rejection_rate,37.82771535580524
SROF017,TRAINING1,5,rejection_rate,46.91943127962085
SROF017,TRAINING1,6,rejection_rate,47.54716981132076
SROF017,TRAINING1,7,rejection_rate,47.70318021201413
SROF017,TRAINING1,8,rejection_rate,31.4878892733564
SROF017,TRAINING1,9,rejection_rate,39.130434782608695
SROF017,TRAINING1,10,rejection_rate,61.06870229007634
SROF017,TRAINING1,11,rejection_rate,39.52095808383233
SROF017,TRAINING1,12,rejection_rate,56.470588235294116
SROF017,TRAINING1,13,rejection_rate,45.9546925566343
SROF017,TRAINING1,14,rejection_rate,44.843049327354265
SROF017,TRAINING1,15,rejection_rate,51.724137931034484
SROF017,TRAINING1,16,rejection_rate,60.86956521739131
SROF017,TRAINING1,17,rejection_rate,53.67965367965368
SROF017,TRAINING1,18,rejection_rate,71.59763313609467
SROF017,TRAINING1,19,rejection_rate,47.40740740740741
SROF017,TRAINING1,20,rejection_rate,50.0
SROF017,TRAINING1,21,rejection_rate,43.0327868852459
SROF017,TRAINING1,22,rejection_rate,54.25531914893617
SROF017,TRAINING1,23,rejection_rate,56.557377049180324
SROF017,TRAINING1,24,rejection_rate,46.330275229357795
SROF017,TRAINING1,25,rejection_rate,54.0
SROF017,TRAINING1,26,rejection_rate,41.37931034482759
SROF017,TRAINING1,27,rejection_rate,38.88888888888889
SROF017,TRAINING1,28,rejection_rate,53.333333333333336
SROF017,TRAINING1,29,rejection_rate,39.63414634146341
SROF017,TRAINING1,30,rejection_rate,56.76855895196506
SROF017,TRAINING1,31,rejection_rate,55.483870967741936
SROF018,TRAINING1,1,rejection_rate,72.22222222222221
SROF018,TRAINING1,2,rejection_rate,54.054054054054056
SROF018,TRAINING1,3,rejection_rate,26.666666666666668
SROF018,TRAINING1,4,rejection_rate,58.46153846153847
SROF018,TRAINING1,5,rejection_rate,55.44554455445545
SROF018,TRAINING1,6,rejection_rate,58.139534883720934
SROF018,TRAINING1,7,rejection_rate,65.3061224489796
SROF018,TRAINING1,8,rejection_rate,66.0
SROF018,TRAINING1,9,rejection_rate,72.88135593220339
SROF018,TRAINING1,10,rejection_rate,72.72727272727273
SROF018,TRAINING1,11,rejection_rate,62.22222222222222
SROF018,TRAINING1,12,rejection_rate,68.85245901639344
SROF018,TRAINING1,13,rejection_rate,71.73913043478261
SROF018,TRAINING1,14,rejection_rate,75.67567567567568
SROF018,TRAINING1,15,rejection_rate,78.78787878787878
SROF018,TRAINING1,16,rejection_rate,93.87755102040816
SROF020,TRAINING1,1,rejection_rate,58.69565217391305
SROF020,TRAINING1,2,rejection_rate,53.03030303030303
SROF020,TRAINING1,3,rejection_rate,77.08333333333334
SROF020,TRAINING1,4,rejection_rate,75.40983606557377
SROF020,TRAINING1,5,rejection_rate,66.66666666666666
SROF020,TRAINING1,6,rejection_rate,77.77777777777779
SROF020,TRAINING1,7,rejection_rate,84.78260869565217
SROF020,TRAINING1,8,rejection_rate,58.97435897435898
SROF020,TRAINING1,9,rejection_rate,94.44444444444444
SROF020,TRAINING1,10,rejection_rate,78.57142857142857
SROF020,TRAINING1,11,rejection_rate,63.63636363636363
SROF020,TRAINING1,12,rejection_rate,59.25925925925925
SROF020,TRAINING1,13,rejection_rate,85.41666666666666
SROF020,TRAINING1,14,rejection_rate,83.52941176470588
SROF012,TRAINING2,1,rejection_rate,47.77327935222672
SROF012,TRAINING2,2,rejection_rate,55.11363636363637
SROF012,TRAINING2,3,rejection_rate,57.14285714285714
SROF012,TRAINING2,4,rejection_rate,54.92227979274611
SROF012,TRAINING2,5,rejection_rate,76.88679245283019
SROF012,TRAINING2,6,rejection_rate,78.97196261682244
SROF017,TRAINING2,1,rejection_rate,43.656716417910445
SROF017,TRAINING2,2,rejection_rate,28.57142857142857
SROF017,TRAINING2,3,rejection_rate,31.456953642384107
SROF017,TRAINING2,4,rejection_rate,61.18881118881119
SROF017,TRAINING2,5,rejection_rate,60.78431372549019
SROF018,TRAINING2,1,rejection_rate,44.303797468354425
SROF018,TRAINING2,2,rejection_rate,44.0
SROF018,TRAINING2,3,rejection_rate,38.46153846153847
SROF018,TRAINING2,4,rejection_rate,40.0
SROF018,TRAINING2,5,rejection_rate,71.875
SROF018,TRAINING2,6,rejection_rate,73.33333333333333
SROF018,TRAINING2,7,rejection_rate,75.0
SROF018,TRAINING2,8,rejection_rate,87.5
SROF018,TRAINING2,9,rejection_rate,81.81818181818183
SROF020,TRAINING2,1,rejection_rate,44.642857142857146
SROF020,TRAINING2,2,rejection_rate,44.73684210526316
SROF020,TRAINING2,3,rejection_rate,47.61904761904761
SROF020,TRAINING2,4,rejection_rate,32.5
SROF020,TRAINING2,5,rejection_rate,56.896551724137936
SROF020,TRAINING2,6,rejection_rate,68.29268292682927
SROF020,TRAINING2,7,rejection_rate,81.57894736842105
SROF020,TRAINING2,8,rejection_rate,62.5
SROF012,TRAINING3,1,rejection_rate,51.66666666666667
SROF012,TRAINING3,2,rejection_rate,48.06629834254144
SROF012,TRAINING3,3,rejection_rate,60.90534979423868
SROF012,TRAINING3,4,rejection_rate,75.0
SROF012,TRAINING3,5,rejection_rate,68.19787985865725
SROF017,TRAINING3,1,rejection_rate,27.979274611398964
SROF017,TRAINING3,2,rejection_rate,45.11627906976744
SROF017,TRAINING3,3,rejection_rate,45.70135746606335
SROF017,TRAINING3,4,rejection_rate,53.380782918149464
SROF017,TRAINING3,5,rejection_rate,52.12765957446809
SROF018,TRAINING3,1,rejection_rate,79.3103448275862
SROF018,TRAINING3,2,rejection_rate,59.25925925925925
SROF018,TRAINING3,3,rejection_rate,42.42424242424242
SROF018,TRAINING3,4,rejection_rate,34.61538461538461
SROF018,TRAINING3,5,rejection_rate,63.33333333333333
SROF018,TRAINING3,6,rejection_rate,61.111111111111114
SROF018,TRAINING3,7,rejection_rate,73.13432835820896
SROF018,TRAINING3,8,rejection_rate,67.44186046511628
SROF018,TRAINING3,9,rejection_rate,74.64788732394366
SROF020,TRAINING3,1,rejection_rate,23.25581395348837
SROF020,TRAINING3,2,rejection_rate,13.829787234042554
SROF020,TRAINING3,3,rejection_rate,8.21917808219178
SROF020,TRAINING3,4,rejection_rate,14.285714285714285
SROF020,TRAINING3,5,rejection_rate,10.144927536231885
SROF020,TRAINING3,6,rejection_rate,6.521739130434782
SROF020,TRAINING3,7,rejection_rate,20.754716981132077
SROF020,TRAINING3,8,rejection_rate,24.0
SROF020,TRAINING3,9,rejection_rate,19.642857142857142
SROF020,TRAINING3,10,rejection_rate,7.4074074074074066
SROF020,TRAINING3,11,rejection_rate,50.0
SROF020,TRAINING3,12,rejection_rate,43.20987654320987
SROF020,TRAINING3,13,rejection_rate,53.191489361702125
SROF020,TRAINING3,14,rejection_rate,52.94117647058824
SROF012,TRAINING1,1,d'_loglinear_corrected,0.1515902833132005
SROF012,TRAINING1,2,d'_loglinear_corrected,0.4891647432676853
SROF012,TRAINING1,3,d'_loglinear_corrected,0.8692323798719594
SROF012,TRAINING1,4,d'_loglinear_corrected,1.009296504665182
SROF012,TRAINING1,5,d'_loglinear_corrected,0.9764131947596546
SROF012,TRAINING1,6,d'_loglinear_corrected,1.2675989633191334
SROF012,TRAINING1,7,d'_loglinear_corrected,1.471973631493621
SROF017,TRAINING1,1,d'_loglinear_corrected,0.08938818857506381
SROF017,TRAINING1,2,d'_loglinear_corrected,-0.09477852965004574
SROF017,TRAINING1,3,d'_loglinear_corrected,0.05548144617407508
SROF017,TRAINING1,4,d'_loglinear_corrected,0.17362135152523128
